year,title,authors,journal,volume,page,end,DOI,citations
2009,Refining the stress-gradient hypothesis for competition and facilitation in plant communities,"Maestre, Fernando T.; Callaway, Ragan M.; Valladares, Fernando; Lortie, Christopher J.",JOURNAL OF ECOLOGY,97,199,205,10.1111/j.1365-2745.2008.01476.x,594
2009,Don't Diss Integration: A Comment on Ricklefs's Disintegrating Communities,"Brooker, Rob W.; Callaway, Ragan M.; Cavieres, Lohengrin A.; Kikvidze, Zaal; Lortie, Christopher J.; Michalet, Richard; Pugnaire, Francisco I.; Valiente-Banuet, Alfonso; Whitham, Thomas G.",AMERICAN NATURALIST,174,919,927,10.1086/648058,61
2009,Spatial patterns of association at local and regional scales in coastal sand dune communities,"Forey, Estelle; Lortie, Christopher J.; Michalet, Richard",JOURNAL OF VEGETATION SCIENCE,20,916,925,10.1111/j.1654-1103.2009.01095.x,29
2009,To Name or Not to Name: The Effect of Changing Author Gender on Peer Review,"Borsuk, Robyn M.; Aarssen, Lonnie W.; Budden, Amber E.; Koricheva, Julia; Leimu, Roosa; Tregenza, Tom; Lortie, Christopher J.",BIOSCIENCE,59,985,989,10.1525/bio.2009.59.11.10,24
2009,Does Publication in Top-Tier Journals Affect Reviewer Behavior?,"Aarssen, Lonnie W.; Lortie, Christopher J.; Budden, Amber E.; Koricheva, Julia; Leimu, Roosa; Tregenza, Tom",PLOS ONE,4,,,10.1371/journal.pone.0006283,12
2009,Is the cask of facilitation ready for bottling? A symposium on the connectivity and future directions of positive plant interactions,"Pakeman, Robin J.; Pugnaire, Francisco I.; Michalet, Richard; Lortie, Chris J.; Schiffers, Katja; Maestre, Fernando T.; Travis, Justin M. J.",BIOLOGY LETTERS,5,577,579,10.1098/rsbl.2009.0384,9
2009,Cage Matching: Head to Head Competition Experiments of an Invasive Plant Species from Different Regions as a Means to Test for Differentiation,"Lortie, Christopher J.; Munshaw, Michael; Zikovitz, Andrea; Hierro, Jose",PLOS ONE,4,,,10.1371/journal.pone.0004823,5
2009,The importance of urban backgardens on plant and invertebrate recruitment: a field microcosm experiment,"Sperling, C; Lortie, CJ",URBAN ECOSYSTEMS,2,223,235,10.1007/s11252-009-0114-y,
2008,"Facilitation in plant communities: the past, the present, and the future","Brooker, Rob W.; Maestre, Fernando T.; Callaway, Ragan M.; Lortie, Christopher L.; Cavieres, Lohengrin A.; Kunstler, Georges; Liancourt, Pierre; Tielboerger, Katja; Travis, Justin M. J.; Anthelme, Fabien; Armas, Cristina; Coll, Lluis; Corcket, Emmanuel; Delzon, Sylvain; Forey, Estelle; Kikvidze, Zaal; Olofsson, Johan; Pugnaire, Francisco I.; Quiroz, Constanza L.; Saccone, Patrick; Schiffers, Katja; Seifan, Merav; Touzard, Blaise; Michalet, Richard",JOURNAL OF ECOLOGY,96,18,34,10.1111/j.1365-2745.2007.01295.x,928
2008,Double-blind review favours increased representation of female authors,"Budden, Amber E.; Tregenza, Tom; Aarssen, Lonnie W.; Koricheva, Julia; Leimu, Roosa; Lortie, Christopher J.",TRENDS IN ECOLOGY & EVOLUTION,23,4,6,10.1016/j.tree.2007.07.008,192
2008,Species-specific positive effects in an annual plant community,"Lortie, Christopher J.; Turkington, Roy",OIKOS,117,1511,1521,10.1111/j.0030-1299.2008.16664.x,34
2008,Systematic Variation in Reviewer Practice According to Country and Gender in the Field of Ecology and Evolution,"Grod, Olyana N.; Budden, Amber E.; Tregenza, Tom; Koricheva, Julia; Leimu, Roosa; Aarssen, Lonnie W.; Lortie, Christopher J.",PLOS ONE,3,,,10.1371/journal.pone.0003202,13
2008,Does it pay to have a bigwig as a co-author?,"Leimu, Roosa; Lortie, Christopher J.; Aarssen, Lonnie; Budden, Amber E.; Koricheva, Julia; Tregenza, Tom",FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,6,410,411,10.1890/1540-9295(2008)6[410:DIPTHA]2.0.CO;2,12
2008,An ontology for landscapes,"Lepczyk, Christopher A.; Lortie, Christopher J.; Anderson, Laurel J.",ECOLOGICAL COMPLEXITY,5,272,279,10.1016/j.ecocom.2008.04.001,10
2008,Response to Webb et al.: Double-blind review: accept with minor revisions,"Budden, Amber E.; Lortie, Christopher J.; Tregenza, Tom; Aarssen, Lonnie; Koricheva, Julia; Leimu, Roosa",TRENDS IN ECOLOGY & EVOLUTION,23,353,354,10.1016/j.tree.2008.04.001,9
2008,Response to Whittaker: challenges in testing for gender bias,"Budden, Amber E.; Aarssen, Lonnie; Koricheva, Julia; Leimu, Roosa; Lortie, Christopher J.; Tregenza, Tom",TRENDS IN ECOLOGY & EVOLUTION,23,480,481,10.1016/j.tree.2008.06.004,3
2008,How big are bigwigs?: a reply to Havens,"Leimu, Roosa; Lortie, Christopher J.; Tregenza, Tom; Koricheva, Julia; Budden, Amber E.; Aarssen, Lonnie",FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,6,523,523,10.1890/1540-9295-6.10.523.a,0
2008,Does double-blind review favor female authors? Reply,"Budden, Amber E.; Aarssen, Lonnie W.; Koricheva, Julia; Leimu, Roosa; Lortie, Christopher J.; Tregenza, Tom",FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,6,356,357,,0
2007,Publication bias and merit in ecology,"Lortie, C. J.; Aarssen, L. W.; Budden, A. E.; Koricheva, J. K.; Leimu, R.; Tregenza, T.",OIKOS,116,1247,1253,10.1111/j.0030-1299.2007.15686.x,53
2007,Effects of a directional abiotic gradient on plant community dynamics and invasion in a coastal dune system,"Lortie, Christopher J.; Cushman, J. Hall",JOURNAL OF ECOLOGY,95,468,481,10.1111/j.1365-2745.2007.01231.x,49
2007,An ecological tardis: the implications of facilitation through evolutionary time,"Lortie, Christopher J.",TRENDS IN ECOLOGY & EVOLUTION,22,627,630,10.1016/j.tree.2007.09.005,12
2006,Do biotic interactions shape both sides of the humped-back model of species richness in plant communities?,"Michalet, Richard; Brooker, Robin W.; Cavieres, Lohengrin A.; Kikvidze, Zaal; Lortie, Christopher J.; Pugnaire, Francisco I.; Valiente-Banuet, Alfonso; Callaway, Ragan M.",ECOLOGY LETTERS,9,767,773,10.1111/j.1461-0248.2006.00935.x,388
2006,Re-analysis of meta-analysis: support for the stress-gradient hypothesis,"Lortie, CJ; Callaway, RM",JOURNAL OF ECOLOGY,94,7,16,10.1111/j.1365-2745.2005.01066.x,188
2005,The importance of importance,"Brooker, R; Kikvidze, Z; Pugnaire, FI; Callaway, RM; Choler, P; Lortie, CJ; Michalet, R",OIKOS,109,63,70,10.1111/j.0030-1299.2005.13557.x,169
2005,Linking patterns and processes in alpine plant communities: A global study,"Kikvidze, Z; Pugnaire, FI; Brooker, RW; Choler, P; Lortie, CJ; Michalet, R; Callaway, RM",ECOLOGY,86,1395,1400,10.1890/04-1926,156
2005,Implications of spatial pattern and local density on community-level interactions,"Lortie, CJ; Ellis, E; Novoplansky, A; Turkington, R",OIKOS,109,495,502,10.1111/j.0030-1299.2005.13779.x,18
2005,"The importance of importance. (vol 109, pg 63, 2005)","Brooker, R; Kikvidze, Z; Pugnaire, FI; Callaway, RM; Choler, P; Lortie, CJ; Michalet, R",OIKOS,111,208,208,,2
2004,Rethinking plant community theory,"Lortie, CJ; Brooker, RW; Choler, P; Kikvidze, Z; Michalet, R; Pugnaire, FI; Callaway, RM",OIKOS,107,433,438,10.1111/j.0030-1299.2004.13250.x,319
2004,The value of stress and limitation in an imperfect world: A reply to Korner,"Lortie, CJ; Brooker, RW; Kikvidze, Z; Callaway, RM",JOURNAL OF VEGETATION SCIENCE,15,577,580,10.1658/1100-9233(2004)015[0577:TVOSAL]2.0.CO;2,32
2002,Positive interactions among alpine plants increase with stress,"Callaway, RM; Brooker, RW; Choler, P; Kikvidze, Z; Lortie, CJ; Michalet, R; Paolini, L; Pugnaire, FI; Newingham, B; Aschehoug, ET; Armas, C; Kikodze, D; Cook, BJ",NATURE,417,844,848,10.1038/nature00812,1101
2002,The effect of initial seed density on the structure of a desert annual plant community,"Lortie, CJ; Turkington, R",JOURNAL OF ECOLOGY,90,435,445,10.1046/j.1365-2745.2002.00686.x,38
2002,The facilitative effects by seeds and seedlings on emergence from the seed bank of a desert annual plant community,"Lortie, CJ; Turkington, R",ECOSCIENCE,9,106,111,10.1080/11956860.2002.11682696,17
2002,"The small-scale spatiotemporal pattern of a seed bank in the Negev Desert, Israel","Lortie, CJ; Turkington, R",ECOSCIENCE,9,407,413,10.1080/11956860.2002.11682728,9
2000,Fitness consequences of branching in Verbascum thapsus (Scrophulariaceae),"Lortie, CJ; Aarssen, LW",AMERICAN JOURNAL OF BOTANY,87,1793,1796,10.2307/2656831,18
2000,A test of the reserve meristem hypothesis using Verbascum thapsus (Scrophulariaceae),"Lortie, CJ; Aarssen, LW",AMERICAN JOURNAL OF BOTANY,87,1789,1792,10.2307/2656830,11
2000,The effects of gerbil foraging on the natural seedbank and consequences on the annual plant community,"Lortie, CJ; Ganey, DT; Kotler, BP",OIKOS,90,399,407,10.1034/j.1600-0706.2000.900221.x,8
2000,Why reply (to Hjalten and Price)?,"Lortie, CJ",OIKOS,90,185,186,10.1034/j.1600-0706.2000.900119.x,1
1999,The advantage of being tall: Higher flowers receive more pollen in Verbascum thapsus L-(Scrophulariaceae),"Lortie, CJ; Aarssen, LW",ECOSCIENCE,6,68,71,,37
1999,Over-interpretation: avoiding the stigma of non-significant results,"Lortie, CJ",OIKOS,87,183,184,10.2307/3547010,11
1998,Pollination in Verbascum thapsus (Scrophulariaceae): The advantage of being tall,"Donnelly, SE; Lortie, CJ; Aarssen, LW",AMERICAN JOURNAL OF BOTANY,85,1618,1625,10.2307/2446490,53
1997,Apical dominance as an adaptation in Verbascum thapsus: Effects of water and nutrients on branching,"Lortie, CJ; Aarssen, LW",INTERNATIONAL JOURNAL OF PLANT SCIENCES,158,461,464,10.1086/297456,16
1996,The specialization hypothesis for phenotypic plasticity in plants,"Lortie, CJ; Aarssen, LW",INTERNATIONAL JOURNAL OF PLANT SCIENCES,157,484,487,10.1086/297365,100
