year,title,authors,journal,volume,page,end,DOI,citations
2017,Competition does not come at the expense of colonization in seed morphs with increased size and dispersal,"Florencia Miguel, M.; Lortie, Christopher J.; Callaway, Ragan M.; Hierro, Jose L.",AMERICAN JOURNAL OF BOTANY,104,1323,1333,10.3732/ajb.1700266,2
2017,Germination response of desert annuals to shrub facilitation is species specific but not ecotypic,"Liczner, Amanda R.; Sotomayor, Diego A.; Filazzola, Alessandro; Lortie, Christopher J.",JOURNAL OF PLANT ECOLOGY,10,364,374,10.1093/jpe/rtw030,2
2017,Open Sesame: R for Data Science is Open Science,"Lortie, Christopher J.",IDEAS IN ECOLOGY AND EVOLUTION,10,1,5,10.4033/iee.2017.10.1.e,2
2017,Extensive analysis of native and non-native Centaurea solstitialis L. populations across the world shows no traces of polyploidization,"Irimia, Ramona-Elena; Montesinos, Daniel; Eren, Ozkan; Lortie, Christopher J.; French, Kristine; Cavieres, Lohengrin A.; Sotes, Gaston J.; Hierro, Jose L.; Jorge, Andreia; Loureiro, Joao",PEERJ,5,,,10.7717/peerj.3531,1
2017,Idea farming: It is a good idea to have bad ideas in science,"Lortie, Christopher J.",IDEAS IN ECOLOGY AND EVOLUTION,10,37,42,10.4033/iee.2017.10.7.e,0
2017,Open Sesame: R for Data Science is Open Science,"Lortie, CJ",IDEAS IN ECOLOGY AND EVOLUTION,1,2,7,10.4033/iee.2017.10.1.e,55
2017,R for Data Science,"Lortie, CJ",JOURNAL OF STATISTICAL SOFTWARE,1,1,5,10.18637/jss.v077.b01,15
2016,A portfolio effect of shrub canopy height on species richness in both stressful and competitive environments,"Brathen, Kari Anne; Lortie, Christopher",FUNCTIONAL ECOLOGY,30,60,69,10.1111/1365-2435.12458,13
2016,Functional assessment of animal interactions with shrub-facilitation complexes: a formal synthesis and conceptual framework,"Lortie, Christopher J.; Filazzola, Alessandro; Sotomayor, Diego A.",FUNCTIONAL ECOLOGY,30,41,51,10.1111/1365-2435.12530,12
2016,A cost-benefit model for plant-plant interactions: a density-series tool to detect facilitation,"Lortie, Christopher J.; Filazzola, Alessandro; Welham, Clive; Turkington, Roy",PLANT ECOLOGY,217,1315,1329,10.1007/s11258-016-0604-y,3
2016,Shrub-annual facilitation complexes mediate insect community structure in arid environments,"Ruttan, Ally; Filazzola, Alessandro; Lortie, Christopher J.",JOURNAL OF ARID ENVIRONMENTS,134,1,9,10.1016/j.jaridenv.2016.06.009,2
2016,A picture is worth a thousand data points: an imagery dataset of paired shrub-open microsites within the Carrizo Plain National Monument,"Noble, Taylor J.; Lortie, Christopher J.; Westphal, Michael; Butterfield, H. Scott",GIGASCIENCE,5,,,10.1186/s13742-016-0145-2,2
2016,Zen and the art of ecological synthesis,"Lortie, Christopher J.; Bonte, Dries",OIKOS,125,285,287,10.1111/oik.03161,2
2016,Roy Turkington and his legacy to the science of plant ecology,"Fraser, Lauchlan H.; Cahill, James F.; Lortie, Christopher J.",PLANT ECOLOGY,217,1291,1295,10.1007/s11258-016-0661-2,0
2015,"Competition, facilitation and environmental severity shape the relationship between local and regional species richness in plant communities","Michalet, Richard; Maalouf, Jean-Paul; Choler, Philippe; Clement, Bernard; Rosebery, David; Royer, Jean-Marie; Schoeb, Christian; Lortie, Christopher J.",ECOGRAPHY,38,335,345,10.1111/ecog.01106,26
2015,Disentangling direct and indirect effects of a legume shrub on its understorey community,"Michalet, Richard; Brooker, Rob W.; Lortie, Christopher J.; Maalouf, Jean-Paul; Pugnaire, Francisco I.",OIKOS,124,1251,1262,10.1111/oik.01819,25
2015,The effects of foundation species on community assembly: a global study on alpine cushion plant communities,"Kikvidze, Zaal; Brooker, Robin W.; Butterfield, Bradley J.; Callaway, Ragan M.; Cavieres, Lohengrin A.; Cook, Bradley J.; Lortie, Christopher J.; Michalet, Richard; Pugnaire, Francisco I.; Xiao, Sa; Anthelme, Fabien; Bjork, Robert G.; Cranston, Brittany H.; Gavilan, Rosario G.; Kanka, Robert; Lingua, Emanuele; Maalouf, Jean-Paul; Noroozi, Jalil; Parajuli, Rabindra; Phoenix, Gareth K.; Reid, Anya; Ridenour, Wendy M.; Rixen, Christian; Schob, Christian",ECOLOGY,96,2064,2069,10.1890/14-2443.1,23
2015,Indirect interactions in terrestrial plant communities: emerging patterns and research gaps,"Sotomayor, Diego A.; Lortie, Christopher J.",ECOSPHERE,6,,,10.1890/ES14-00117.1,23
2015,Genetic differentiation and phenotypic plasticity in life-history traits between native and introduced populations of invasive maple trees,"Lamarque, Laurent J.; Lortie, Christopher J.; Porte, Annabel J.; Delzon, Sylvain",BIOLOGICAL INVASIONS,17,1109,1122,10.1007/s10530-014-0781-3,18
2015,How to critically read ecological meta-analyses,"Lortie, Christopher J.; Stewart, Gavin; Rothstein, Hannah; Lau, Joseph",RESEARCH SYNTHESIS METHODS,6,124,133,10.1002/jrsm.1109,12
2015,Non-native earthworms promote plant invasion by ingesting seeds and modifying soil properties,"Clause, Julia; Forey, Estelle; Lortie, Christopher J.; Lambert, Adam M.; Barot, Sebastien",ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,64,10,20,10.1016/j.actao.2015.02.004,12
2015,A systematic review of the attractant-decoy and repellent-plant hypotheses: do plants with heterospecific neighbours escape herbivory?,"Ruttan, Ally; Lortie, Christopher J.",JOURNAL OF PLANT ECOLOGY,8,337,346,10.1093/jpe/rtu030,8
2015,"A meta-analysis of plant facilitation in coastal dune systems: responses, regions, and research gaps","Castanho, Camila de Toledo; Lortie, Christopher J.; Zaitchik, Benjamin; Prado, Paulo Inacio",PEERJ,3,,,10.7717/peerj.768,6
2015,How good is half a fish? Communicating outcomes of quantitative syntheses to decision makers,"Bayliss, Helen R.; Lortie, Christopher J.; Stewart, Gavin B.",FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,13,533,534,10.1890/15.WB.018,1
2015,The diversity of diversity studies: retrospectives and future directions,"Lortie, Christopher J.; Svenning, Jens-Christian",ECOGRAPHY,38,330,334,10.1111/ecog.01646,1
2014,Facilitative plant interactions and climate simultaneously drive alpine plant diversity,"Cavieres, Lohengrin A.; Brooker, Rob W.; Butterfield, Bradley J.; Cook, Bradley J.; Kikvidze, Zaal; Lortie, Christopher J.; Michalet, Richard; Pugnaire, Francisco I.; Schoeb, Christian; Xiao, Sa; Anthelme, Fabien; Bjoerk, Robert G.; Dickinson, Katharine J. M.; Cranston, Brittany H.; Gavilan, Rosario; Gutierrez-Giron, Alba; Kanka, Robert; Maalouf, Jean-Paul; Mark, Alan F.; Noroozi, Jalil; Parajuli, Rabindra; Phoenix, Gareth K.; Reid, Anya M.; Ridenour, Wendy M.; Rixen, Christian; Wipf, Sonja; Zhao, Liang; Escudero, Adrian; Zaitchik, Benjamin F.; Lingua, Emanuele; Aschehoug, Erik T.; Callaway, Ragan M.",ECOLOGY LETTERS,17,193,202,10.1111/ele.12217,136
2014,Partitioning net interactions among plants along altitudinal gradients to study community responses to climate change,"Michalet, Richard; Schoeb, Christian; Lortie, Christopher J.; Brooker, Rob W.; Callaway, Ragan M.",FUNCTIONAL ECOLOGY,28,75,86,10.1111/1365-2435.12136,72
2014,Two alternatives to the stress-gradient hypothesis at the edge of life: the collapse of facilitation and the switch from facilitation to competition,"Michalet, Richard; Le Bagousse-Pinguet, Yoann; Maalouf, Jean-Paul; Lortie, Christopher J.",JOURNAL OF VEGETATION SCIENCE,25,609,613,10.1111/jvs.12123,63
2014,A systematic review and conceptual framework for the mechanistic pathways of nurse plants,"Filazzola, Alessandro; Lortie, Christopher J.",GLOBAL ECOLOGY AND BIOGEOGRAPHY,23,1335,1345,10.1111/geb.12202,50
2014,A global analysis of bidirectional interactions in alpine plant communities shows facilitators experiencing strong reciprocal fitness costs,"Schoeb, Christian; Michalet, Richard; Cavieres, Lohengrin A.; Pugnaire, Francisco I.; Brooker, Rob W.; Butterfield, Bradley J.; Cook, Bradley J.; Kikvidze, Zaal; Lortie, Christopher J.; Xiao, Sa; Al Hayek, Patrick; Anthelme, Fabien; Cranston, Brittany H.; Garcia, Mary-Carolina; Le Bagousse-Pinguet, Yoann; Reid, Anya M.; le Roux, Peter C.; Lingua, Emanuele; Nyakatya, Mawethu J.; Touzard, Blaise; Zhao, Liang; Callaway, Ragan M.",NEW PHYTOLOGIST,202,95,105,10.1111/nph.12641,48
2014,Formalized synthesis opportunities for ecology: systematic reviews and meta-analyses,"Lortie, Christopher J.",OIKOS,123,897,902,10.1111/j.1600-0706.2013.00970.x,26
2014,The context dependence of beneficiary feedback effects on benefactors in plant facilitation,"Schoeb, Christian; Callaway, Ragan M.; Anthelme, Fabien; Brooker, Rob W.; Cavieres, Lohengrin A.; Kikvidze, Zaal; Lortie, Christopher J.; Michalet, Richard; Pugnaire, Francisco I.; Xiao, Sa; Cranston, Brittany H.; Garcia, Mary-Carolina; Hupp, Nicole R.; Llambi, Luis D.; Lingua, Emanuele; Reid, Anya M.; Zhao, Liang; Butterfield, Bradley J.",NEW PHYTOLOGIST,204,386,396,10.1111/nph.12908,22
2014,Land management trumps the effects of climate change and elevated CO2 on grassland functioning,"Thebault, Aurelie; Mariotte, Pierre; Lortie, Christopher J.; MacDougall, Andrew S.",JOURNAL OF ECOLOGY,102,896,904,10.1111/1365-2745.12236,16
2014,A global meta-analytic contrast of cushion-plant effects on plants and on arthropods,"Liczner, Amanda R.; Lortie, Christopher J.",PEERJ,2,,,10.7717/peerj.265,9
2014,Nurse-plant effects on the seed biology and germination of desert annuals,"Sotomayor, Diego A.; Lortie, Christopher J.; Lamarque, Laurent J.",AUSTRAL ECOLOGY,39,786,794,10.1111/aec.12144,8
2014,Advancing plant ecology through meta-analyses,"Gomez-Aparicio, Lorena; Lortie, Christopher J.",JOURNAL OF ECOLOGY,102,823,827,10.1111/1365-2745.12264,4
2014,Ecological implications of reduced pollen supply in the alpine: a case study using a dominant cushion plant species,"Reid, A.; Molenda, O.; Lortie, CJ",F1000RESEARCH,130,3,6,10.12688/f1000research.4382.2,15
2014,The four pillars of scholarly publishing: The future and a foundation,"Byrnes, J.; Baskerville, E.; Caron, B.; Neylon, C.; Tenopir,C.; Schildhauer, M.; Budden, A.; Aarssen, LW; Lortie, CJ",IDEAS IN ECOLOGY AND EVOLUTION,1,2,10,10.4033/iee.2014.7.7.f,56
2013,Alpine cushion plants inhibit the loss of phylogenetic diversity in severe environments,"Butterfield, B. J.; Cavieres, L. A.; Callaway, R. M.; Cook, B. J.; Kikvidze, Z.; Lortie, C. J.; Michalet, R.; Pugnaire, F. I.; Schoeb, C.; Xiao, S.; Zaitchek, B.; Anthelme, F.; Bjork, R. G.; Dickinson, K.; Gavilan, R.; Kanka, R.; Maalouf, J.-P.; Noroozi, J.; Parajuli, R.; Phoenix, G. K.; Reid, A.; Ridenour, W.; Rixen, C.; Wipf, S.; Zhao, L.; Brooker, R. W.",ECOLOGY LETTERS,16,478,486,10.1111/ele.12070,91
2013,Characterizing a scientific elite (B): publication and citation patterns of the most highly cited scientists in environmental science and ecology,"Parker, John N.; Allesina, Stefano; Lortie, Christopher J.",SCIENTOMETRICS,94,469,480,10.1007/s11192-012-0859-6,24
2013,Sweeping beauty: is grassland arthropod community composition effectively estimated by sweep netting?,"Spafford, Ryan D.; Lortie, Christopher J.",ECOLOGY AND EVOLUTION,3,3347,3358,10.1002/ece3.688,17
2013,A Test for Pre-Adapted Phenotypic Plasticity in the Invasive Tree Acer negundo L,"Lamarque, Laurent J.; Porte, Annabel J.; Eymeric, Camille; Lasnier, Jean-Baptiste; Lortie, Christopher J.; Delzon, Sylvain",PLOS ONE,8,,,10.1371/journal.pone.0074239,16
2013,"Do citations and impact factors relate to the real numbers in publications? A case study of citation rates, impact, and effect sizes in ecology and evolutionary biology","Lortie, Christopher J.; Aarssen, Lonnie W.; Budden, Amber E.; Leimu, Roosa",SCIENTOMETRICS,94,675,682,10.1007/s11192-012-0822-6,11
2013,"With Great Power Comes Great Responsibility: the Importance of Rejection, Power, and Editors in the Practice of Scientific Publishing","Lortie, Christopher J.; Allesina, Stefano; Aarssen, Lonnie; Grod, Olyana; Budden, Amber E.",PLOS ONE,8,,,10.1371/journal.pone.0085382,3
2013,Creativity in the review of science,"Lortie, CJ",IDEAS IN ECOLOGY AND EVOLUTION,1,3,8,10.4033/iee.2013.6.16.e,5
2013,A systematic review of arthropod community diversity in association with invasive plants,"Spafford, R; Lortie, CJ; Butterfield, B",NEOBIOTA,16,81,102,10.3897/neobiota.16.4190,145
2013,How to critically read ecological meta-analyses,"Lortie, CJ; Stewart, G; Rothstein, H; Lau, J",RESEARCH SYNTHESIS METHODS,2,124,133,10.1002/jrsm.1109,77
2012,The Alpine Cushion Plant Silene acaulis as Foundation Species: A Bug's-Eye View to Facilitation and Microclimate,"Molenda, Olivia; Reid, Anya; Lortie, Christopher J.",PLOS ONE,7,,,10.1371/journal.pone.0037223,31
2012,Cushion plants are foundation species with positive effects extending to higher trophic levels,"Reid, Anya M.; Lortie, Christopher J.",ECOSPHERE,3,,,10.1890/ES12-00106.1,20
2012,Taxonomic bias and lack of cross-taxonomic studies in invasion biology,"Jeschke, Jonathan M.; Gomez Aparicio, Lorena; Haider, Sylvia; Heger, Tina; Lortie, Christopher J.; Pysek, Petr; Strayer, David L.",FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,10,349,350,10.1890/12.WB.016,20
2012,Biogeographical contrasts to assess local and regional patterns of invasion: a case study with two reciprocally introduced exotic maple trees,"Lamarque, Laurent J.; Delzon, Sylvain; Sloan, Margaret H.; Lortie, Christopher J.",ECOGRAPHY,35,803,810,10.1111/j.1600-0587.2011.07300.x,13
2012,Ecosystem services of pollinator diversity: a review of the relationship with pollen limitation of plant reproduction,"Davila, Yvonne C.; Elle, Elizabeth; Vamosi, Jana C.; Hermanutz, Luise; Kerr, Jeremy T.; Lortie, Christopher J.; Westwood, A. Richard; Woodcock, Thomas S.; Worley, Anne C.",BOTANY-BOTANIQUE,90,535,543,10.1139/B2012-017,13
2012,"Reciprocal gender effects of a keystone alpine plant species on other plants, pollinators, and arthropods","Lortie, Christopher J.; Reid, Anya M.",BOTANY,90,273,282,10.1139/B11-112,7
2012,Good news for the people who love bad news: an analysis of the funding of the top 1% most highly cited ecologists,"Lortie, Christopher J.; Aarssen, Lonnie; Parker, John N.; Allesina, Stefano",OIKOS,121,1005,1008,10.1111/j.1600-0706.2012.20109.x,5
2012,Editorial - Synthesis in ecology,"Bonte, Dries; Marshall, Dustin; Lortie, Christopher J.",OIKOS,121,801,803,10.1111/j.1600-0706.2012.20978.x,4
2012,Hansel und Gretel: The future of publishing wicked witch-free,"Lortie, CJ",IDEAS IN ECOLOGY AND EVOLUTION,1,1,3,10.4033/iee.2012.5b.19.f,20
2012,Science Open Reviewed: An online community connecting authors with reviewers for journals,"Aarssen, L.W.; Lortie, CJ",IDEAS IN ECOLOGY AND EVOLUTION,1,1,7,10.4033/iee.2012.5b.16.f,10
2012,May the odds be ever in your favor: a brief comment on the review games in ecology,"Lortie, CJ",IMMEDIATE SCIENCE ECOLOGY,1,2,6,10.7332/ise2012.1.1.dsc,7
2012,Support for major hypotheses in invasion biology is uneven and declining,"Jeschke, J.M.; Gomez Aparicio, L.; Haider, S.; Heger, T.; Lortie, CJ; Pysek, P.; Strayer, DL",NEOBIOTA,14,1,20,10.3897/neobiota.14.3435,105
2011,Tree invasions: a comparative test of the dominant hypotheses and functional traits,"Lamarque, Laurent Jean; Delzon, Sylvain; Lortie, Christopher James",BIOLOGICAL INVASIONS,13,1969,1989,10.1007/s10530-011-0015-x,82
2011,"Plant invasions, generalist herbivores, and novel defense weapons","Schaffner, Urs; Ridenour, Wendy M.; Wolf, Vera C.; Bassett, Thomas; Mueller, Caroline; Mueller-Schaerer, Heinz; Sutherland, Steve; Lortie, Christopher J.; Callaway, Ragan M.",ECOLOGY,92,829,835,10.1890/10-1230.1,65
2011,Native herbivores and plant facilitation mediate the performance and distribution of an invasive exotic grass,"Cushman, J. Hall; Lortie, Christopher J.; Christian, Caroline E.",JOURNAL OF ECOLOGY,99,524,531,10.1111/j.1365-2745.2010.01776.x,38
2011,Climatic drivers of plant-plant interactions and diversity in alpine communities,"Kikvidze, Zaal; Michalet, Richard; Brooker, Rob W.; Cavieres, Lohengrin A.; Lortie, Christopher J.; Pugnaire, Francisco I.; Callaway, Ragan M.",ALPINE BOTANY,121,63,70,10.1007/s00035-010-0085-x,33
2011,Resistance to Centaurea solstitialis invasion from annual and perennial grasses in California and Argentina,"Hierro, Jose L.; Lortie, Christopher J.; Villarreal, Diego; Estanga-Mollica, Maria E.; Callaway, Ragan M.",BIOLOGICAL INVASIONS,13,2249,2259,10.1007/s10530-011-0037-4,13
2011,A meta-analysis of the ecological significance of density in tree invasions,"Delmas, C. E. L.; Delzon, S.; Lortie, C. J.",COMMUNITY ECOLOGY,12,171,178,10.1556/ComEc.12.2011.2.4,5
2011,Money for nothing and your referees for free,"Lortie, CJ",IDEAS IN ECOLOGY AND EVOLUTION,1,2,3,10.4033/iee.2011.4.9.e,15
2010,Characterizing a scientific elite: the social characteristics of the most highly cited scientists in environmental science and ecology,"Parker, John N.; Lortie, Christopher; Allesina, Stefano",SCIENTOMETRICS,85,129,143,10.1007/s11192-010-0234-4,33
2010,Synthetic Analysis of the Stress-Gradient Hypothesis,"Lortie, Christopher J.",POSITIVE PLANT INTERACTIONS AND COMMUNITY DYNAMICS,,125,147,,16
2010,Behind the shroud: a survey of editors in ecology and evolution,"Grod, Olyana N.; Lortie, Christopher J.; Budden, Amber E.",FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,8,187,192,10.1890/090048,9
2010,Evaluation of a Telehealth Clinic as a Means to Facilitate Dermatologic Consultation: Pilot Project to Assess the Efficiency and Experience of Teledermatology Used in a Primary Care Network,"Ludwick, David A.; Lortie, Charles; Doucette, John; Rao, Jaggi; Samoil-Schelstraete, Christine",JOURNAL OF CUTANEOUS MEDICINE AND SURGERY,14,7,12,10.2310/7750.2010.09012,8
2010,"The small-scale spatiotemporal pattern of the seedbank and vegetation of a highly invasive weed, Centaurea solstitialis: strength in numbers","Lortie, Christopher J.; Munshaw, Michael; DiTomaso, Joseph; Hierro, Jose L.",OIKOS,119,428,436,10.1111/j.1600-0706.2009.17962.x,7
2010,Back to the basics: using density series to test regulation versus limitation for invasive plants,"Munshaw, Michael G.; Lortie, Christopher J.",PLANT ECOLOGY,211,1,5,10.1007/s11258-010-9764-3,5
2010,"Letter to the Editor: A global comment on scientific publications, productivity, people, and beer","Lortie, Christopher J.",SCIENTOMETRICS,84,539,541,10.1007/s11192-009-0077-z,4
2010,Ideas for judging merit in manuscripts and authors,"Aarssen, L.W.; Lortie, CJ",IDEAS IN ECOLOGY AND EVOLUTION,1,2,4,10.4033/iee.2010.3.7.e,10
